Year,Real per Capita GDP Growth Rate (annual %),Real GDP growth (annual %),"Gross domestic product, (constant prices US$)","Gross domestic product, current prices (current US$)",Final consumption expenditure  (current US$),General government final consumption expenditure (current US$),Household final consumption expenditure (current US$),Gross capital formation (current US$),"Gross capital formation, Private sector  (current US$)","Gross capital formation, Public sector  (current US$)",Exports of goods and services (current US$),Imports of goods and services (current US$),Final consumption expenditure  (% of GDP),General government final consumption expenditure (% of GDP),Household final consumption expenditure  (% of GDP),Gross capital formation (% of GDP),"Gross capital formation, Private sector (% GDP)","Gross capital formation, Public sector (% GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Central government, Fiscal Balance (Current US $)","Central government, total revenue and grants  (Current US $)","Central government, total expenditure and net lending  (Current US $)","Central government, Fiscal Balance (% of GDP)","Central government, total revenue and grants  (% of GDP)","Central government, total expenditure and net lending  (% of GDP)","Current account balance (Net, BoP, cur. US$)",Current account balance (As % of GDP),"Inflation, consumer prices (annual %)"
2000,0.3776049046697532,2.8354330649182096,21848.916398754987,12037.673640379631,9213.354255145061,1587.296151956327,7626.058658745371,2401.0336132595676,723.0981548729937,1681.164154472994,3556.4886947561727,3032.9897576712965,86.96523538904322,14.940515993564816,72.02546013626544,18.90773343790432,6.030279957429013,12.74460555989815,29.882580374294754,35.75647515473765,-5.513776224179908,3004.2962164313208,3005.2467448445705,-2.9630548872599207,21.651781795594506,23.56233647940739,380.479738531746,-2.603021053375441,22.81994191919192
2001,2.596678978743827,5.113210842695988,22747.25769505128,11568.195862601851,8896.099995885803,1547.9137445489196,7348.186066152778,2613.448613259568,837.8566733915123,1781.6530433618827,3339.5916577191356,3180.7295724861115,85.69467983348765,15.146627104675927,70.54934902515431,22.264214919385804,6.710094772243827,15.419420374712963,30.451839633554012,38.409993673256174,-261.79081326121695,2849.881586801691,3109.0248929927184,-2.918610442815476,21.598078091890805,24.036040183111094,121.15492371693121,-4.5124654978198855,14.072777777777777
2002,1.6276049046697532,4.079136768621914,23992.82732468091,11925.250307046297,9255.074810700617,1567.9305964007715,7687.143288375,2696.309909555864,812.2185252433642,1890.468228547068,3500.6101762376543,3434.044942856481,86.26690205570988,15.095515993564815,71.17138606219136,21.852918623089504,5.850465142614197,15.867198152490742,30.803876670591052,38.937956636219134,-322.8577760185185,2681.4493502070427,3002.198047795424,-3.213881647723765,21.097959923361532,23.947572932504563,-122.63859480158729,-3.993946979301367,6.851481481481482
2003,1.395382682447531,3.8122849167700616,25185.309176532763,14145.733825564816,10914.784810700618,1920.2794852896604,8994.505880967592,3198.9041688151233,1039.0816670134104,2164.769432273961,4268.228694756172,4144.754757671296,86.3354205742284,15.252738215787039,71.08231198811728,21.388474178645062,6.569328128188272,14.537991111368829,30.887210003924384,38.66443811770062,-336.5956281322752,3386.329165021857,3647.580825573202,-2.605325602050485,21.94610807150968,24.23072108065271,12.050108902116403,-3.7795025348569227,7.569814814814815
2004,2.8940863861512347,5.350988620473765,26663.64695431054,17279.547344083334,13061.358329219136,2427.0987445489195,10634.260880967591,3975.167131778086,965.8303707171143,3012.844617459146,5342.741657719136,5012.265868782408,88.39597612978395,15.422367845416668,72.97379346959876,21.71088158605247,6.590809609669753,14.957805926183642,33.1707285224429,43.36554922881173,-6.38777601851849,4279.08638724408,4272.820270017646,-1.940548314390432,23.597033997435606,25.296276636208265,492.7765903835979,-3.6156136459680335,9.587592592592593
2005,2.630753052817901,5.085988620473766,28255.399176532766,20587.37252926852,15154.896106996914,2760.5178186229937,12394.37865874537,4684.993057704012,1483.0918521985955,3203.4525804221084,6842.286657719135,6006.903276189814,88.22208724089506,14.87218266023148,73.34897865478395,21.307918623089503,6.464142943003087,14.642620740998458,33.46387667059105,43.029067747330245,286.58240916666665,5405.303979836673,5115.6567514991275,0.1872294633873458,24.041293256694868,23.566647006578638,1017.2951089021163,-2.779872905227293,7.480740740740741
2006,3.0390863861512347,5.516914546399692,29860.76973208832,23992.131232972224,16771.69944033025,3127.601151956327,13644.098103189815,5657.1425021484565,1933.7018521985956,3725.782580422109,8646.859435496914,7001.565683597222,86.58319835200618,14.438108586157409,72.14416383996914,21.154770474941355,6.92284664670679,14.155583703961419,34.91795074466512,42.74703071029321,950.5288906481481,6560.17175761445,5600.754129881173,2.0001924263503086,25.533330293731904,22.898901227987654,1542.8097385317462,-1.2395025348569224,6.792962962962963
2007,3.353530830595679,5.8626552871404325,31645.64973208832,27763.57604778704,20492.229440330248,3799.9148556600308,16692.314584671294,6686.8925021484565,2583.5901855319285,4105.564247088775,9614.627398459877,8956.675498412036,84.79042057422839,14.895515993564814,69.89379346959876,22.773844549015433,7.3587725726327164,15.369287407665125,33.35091370762809,40.99888256214506,363.2987054629629,7599.983390900308,6975.5333891404325,2.7440813152391974,25.64464920989352,23.69482715391358,1263.2796296296297,-3.027310735915123,6.376666666666666
2008,2.0818641639290125,4.565618250103395,33226.82602838461,32540.69364037963,23192.311662552467,4442.760966771142,18749.551621708335,8193.959909555864,3237.5285252433646,4957.753228547068,12337.557213274691,11136.367165078704,85.41819835200619,14.429960438009259,70.9884230992284,23.637177882348766,7.684724401873456,15.824790745083332,33.82313592985031,43.13054922881173,407.4592610185186,8720.95061312253,9179.184315066357,0.22148872264660505,26.631686246930556,24.888530857617283,1142.2833333333333,-5.080644069248456,11.649444444444443
2009,0.6213086083734568,3.047470101955247,34234.3462135698,30633.830677416667,23915.984069959875,4528.971151956327,19387.012362449073,7875.613242889197,3287.667222568966,4594.542395236924,8913.604250311728,10042.68197989352,88.46079094459876,15.60144191949074,72.85916383996913,23.389955660126542,9.306365165225309,14.093361481739196,29.708691485405865,42.1159195991821,-1514.6119203221517,7281.379905762598,8790.724529276906,-2.9316594255015436,23.648330293731902,26.43164700657864,-568.2404466534391,-6.518576608930996,8.010925925925925
2010,3.110753052817901,5.572099731584877,36254.222962962966,36003.24086260185,26834.703699589503,5020.874670474846,21813.829399486112,8524.168057704012,3467.5529633097067,5063.343135977664,11844.789805867285,11174.761609523148,84.12986501867283,15.304960438009259,68.82397865478394,24.61162232679321,8.981179980040123,15.640768889146605,32.86906185577624,42.049623302885806,-872.0139573591887,8872.737868725562,9981.810640388017,-2.287400166242284,23.568515478917085,26.037017376949006,75.2641829761905,-6.109502534856922,3.2557407407407406
2011,1.1402613103518517,3.5796401072037036,36721.937358324074,40676.226166270375,30350.90763479815,5900.570931112407,24450.336702872224,9388.692398438889,6470.7389482529625,2917.9534507578333,13701.443516768333,12764.81738458148,84.02554110851852,14.70994993085185,69.31559117518519,24.185639982314814,15.319705260518518,8.865934721407408,34.37308853155556,42.584269620166666,-1158.1221434574445,10130.867997140369,11288.990139003703,-2.6570595474814813,23.29189129351852,25.948950840185187,-213.66321984314817,-6.040080437111111,7.3635678446851855
2012,3.824981163555555,6.244882793907408,38341.87397373333,44042.21128078518,32925.1054619537,6538.062824073333,26387.042636994443,10166.01077694389,7011.103531615186,3154.9072456344443,14503.228393821666,13552.133352577777,85.52330815537037,15.612043795074074,69.91126436148149,26.753374701166667,16.709567164814814,10.043807536555555,33.697342482425924,45.974025339074075,-1118.1113574328147,10044.59041073148,11162.701817479629,-2.2616451474444443,22.621528358537038,24.883175741555554,-422.28683040296295,-7.005135649592592,8.00259263924074
2013,1.1216406564074075,3.524986618814815,39524.60992249445,45416.705302864815,35749.65856335741,6666.957557440555,29082.701006475927,10645.57564409074,7380.707055190001,3264.868588352407,12973.805631892592,13952.334539075926,86.12199376111111,15.972283283240742,70.14971048018518,26.267754957092592,16.296088959055556,9.971665998518517,33.7131223545,46.10287107537037,-1824.7489675503148,9792.652697048148,11617.401692174259,-2.9225935056666663,23.1697621505,26.09235701525926,-1202.0510083792592,-7.545181689055555,5.378207705425926
2014,1.5139017190740742,3.899932871759259,40858.71350408148,47141.188893422215,37376.02579554815,6564.44350136426,30811.582295555556,11200.857003574074,7765.8497173281485,3435.0072862840743,12525.735936332409,13961.42984318889,85.77839860648147,16.057758793074075,69.72063981185185,25.655898103425926,16.921050501222222,8.734847602703704,33.33299583681482,44.76729254703704,-2443.1427618104444,9504.13384073852,11947.276835194443,-4.8458427516851845,22.627390451629626,27.473242182148148,-2035.7753214869817,-7.718468860722222,4.6275950345
2015,-0.02909233042592591,2.308658567907407,41987.42310423148,42997.20303196111,35598.452605475926,5989.40750106111,29609.045104064815,10217.12118113148,7177.898407736667,3039.2227738903707,9239.588890481482,12057.959645888888,87.76656211907408,16.654837684537036,71.11172443407408,25.695038022314815,16.379036995092594,9.31600102762963,29.52413362372222,42.98573376407408,-2842.432170683463,7977.937913731481,10820.39187722037,-7.121557714388889,21.200917367814814,28.323555787555556,-2849.097206218537,-8.819540845185186,6.201399106499999
2016,0.20146666538888894,2.5292485013333335,42539.77848474815,40698.69955857592,33953.42242705371,5493.0526377381475,28460.3697894463,9410.326417353705,6621.793400199259,2788.5330174429632,8455.221395494074,11120.270693042592,87.69657717833333,16.049279959592592,71.64729721592593,25.154094615259257,15.49087804125926,9.663216574185185,29.37695372137037,42.227625841851854,-2853.025831456278,7142.443560163148,9995.469624274074,-6.737825188703704,19.76156488911111,26.49940060768519,-2209.7264668266666,-8.273040517537037,13.194653643
2017,1.7538348046111112,4.107170525166667,43752.17448061112,41187.96993881667,33334.84124455,5497.246984178889,27837.594261500002,9689.789302524074,6439.059843705926,3250.729458857778,9973.21850792037,11809.879115375925,85.95238700611111,15.726519256518518,70.22586774962963,24.158426874851852,14.687724958611112,9.470701915814814,32.4852269175,42.59604079764814,-2335.463539874296,7813.643773690556,10149.107153294444,-4.3925786578518515,21.08244689527778,25.475017097,-1575.0313765643148,-5.907393526722222,10.937481094925927
2018,1.6076050253333334,3.9443068005925928,44951.40614692963,43521.55069437777,34655.36787612407,5697.770250871296,28957.59762690926,10462.571072507408,6933.328132860184,3529.24294011,11424.804131815925,13021.192386870369,85.21449441833335,15.27213379512963,69.94236062333333,23.967795443129628,15.34337227685185,8.624423165685185,33.309399705333334,42.49168956546296,-1900.8637027607222,8690.018271146851,10590.882302,-3.0748437872777776,21.856019721314812,24.93087985827778,-1549.0218078644446,-6.064075687148148,7.968332230092592
2019,1.3516678532222224,3.665682127666667,46142.68946388334,45056.4949832,35881.448352605556,5819.997669406666,30061.450682825925,11177.240893874074,7178.317133884074,3998.9237598329632,11211.563131757037,13213.757394120372,84.79276329481482,15.360876287296296,69.43188700664815,24.271123811518517,15.612356406685185,8.658767405944443,32.795942871870366,41.859829978,-2092.812236001778,8751.025904123704,10843.837992105555,-2.7498874229629626,21.94377303122222,24.693653002851853,-1822.9631504088704,-5.225536864203703,9.930018334814815
2020,-6.028807479240741,-3.881409085962963,44407.15822284074,43440.03721834444,36199.531224398146,5940.693584357407,30258.83763847593,10330.815813624075,6421.6381231398145,3909.177690022037,9488.962530154075,12579.272346992593,87.6843729038889,16.74041007548148,70.94396282462964,23.51156037175926,14.7885128465,8.723047525092593,29.968944177555553,41.16487744955556,-3655.014122850926,7528.521532776112,11183.535493494444,-7.412315480222222,20.86706581348148,28.279373466,-2405.0098858453703,-9.499002151425927,19.70807851009259
2021,2.0492943057222224,4.319798476796296,45798.933474274076,46122.252328598144,37554.12865097778,6184.567185720371,31369.561465744446,11219.22059929074,7031.138054726667,4188.082544923148,10472.638699738889,13123.735622540742,85.51939530611111,15.934324098722222,69.58507121018518,23.90141641788889,15.209356552481482,8.692059864685186,30.396733389185187,39.81754511520371,-2847.1924329544627,8336.917873127779,11184.110588753703,-4.627974201981481,20.907911451407408,25.535898099166666,-1886.2375199035187,-5.964060399277777,10.135694443796297
2022,3.001673549148148,5.2661734035,47569.89906815,49570.956590177775,40137.367589557405,6331.0099631055555,33806.3576238074,11961.59056513148,7559.088497765,4402.502066635,11441.658247937037,13969.659810255556,85.50780160962962,15.610942026037037,69.89685958351852,24.05800059648148,15.46711788437037,8.59088271198148,30.24551520398148,39.81131740972222,-2438.6372727383887,9195.802980624074,11634.440217309259,-3.6015129641296295,21.222979730703702,24.82449115387037,-1338.9823441749998,-4.773887801740741,6.376332322944444
